# Neutron-like data generated for model core_shell_sphere with parameters:
# radius = 150
# thickness = 40
# sld_core = 6
# sld_shell = 1
# sld_solvent = 6
# scale = 0.01
# background = 0.01
#    Q             counts           error          sigmaQ
7.071230e-03    1.095019e+02    4.455940e-01    1.114191e-03
7.564633e-03    1.015527e+02    4.291154e-01    1.129049e-03
8.092465e-03    9.375571e+01    4.123132e-01    1.145815e-03
8.657126e-03    8.320261e+01    3.884158e-01    1.164707e-03
9.261187e-03    7.381725e+01    3.658536e-01    1.185959e-03
9.907398e-03    6.384983e+01    3.402580e-01    1.209821e-03
1.059870e-02    5.428497e+01    3.137388e-01    1.236565e-03
1.133824e-02    4.406551e+01    2.826687e-01    1.266478e-03
1.212937e-02    3.434288e+01    2.495438e-01    1.299867e-03
1.297572e-02    2.578799e+01    2.162405e-01    1.337056e-03
1.388111e-02    1.794026e+01    1.803610e-01    1.378384e-03
1.484968e-02    1.165011e+01    1.453427e-01    1.424211e-03
1.588584e-02    6.710824e+00    1.103104e-01    1.474910e-03
1.699429e-02    3.367198e+00    7.813808e-02    1.530871e-03
1.818009e-02    1.816873e+00    5.739719e-02    1.592504e-03
1.944862e-02    1.711704e+00    5.571123e-02    1.660232e-03
2.080568e-02    2.723496e+00    7.027353e-02    1.734500e-03
2.225742e-02    4.177719e+00    8.703582e-02    1.815770e-03
2.381045e-02    5.885797e+00    1.033073e-01    1.904527e-03
2.547186e-02    6.645547e+00    1.097725e-01    2.001278e-03
2.724919e-02    6.625601e+00    1.096077e-01    2.106556e-03
2.915053e-02    5.445178e+00    9.936523e-02    2.220922e-03
3.118454e-02    3.825949e+00    8.329099e-02    2.344972e-03
3.336048e-02    2.179522e+00    6.286501e-02    2.479333e-03
3.568825e-02    1.098827e+00    4.463680e-02    2.624672e-03
3.817844e-02    8.214005e-01    3.859276e-02    2.781698e-03
4.084239e-02    1.229381e+00    4.721409e-02    2.951169e-03
4.369221e-02    1.552139e+00    5.305101e-02    3.133889e-03
4.674089e-02    1.586590e+00    5.363654e-02    3.330720e-03
5.000229e-02    1.171357e+00    4.608643e-02    3.542584e-03
5.349126e-02    6.654613e-01    3.473680e-02    3.770466e-03
5.722368e-02    4.623778e-01    2.895522e-02    4.015421e-03
6.121653e-02    5.149619e-01    3.055737e-02    4.278579e-03
6.548798e-02    4.786970e-01    2.946176e-02    4.561150e-03
7.005749e-02    4.007274e-01    2.695584e-02    4.864430e-03
7.494583e-02    2.574809e-01    2.160732e-02    5.189808e-03
8.017526e-02    1.541259e-01    1.671730e-02    5.538772e-03
8.576959e-02    1.613789e-01    1.710613e-02    5.912917e-03
9.175427e-02    1.396199e-01    1.591117e-02    6.313950e-03
9.815653e-02    5.621063e-02    1.009573e-02    6.743700e-03
1.050055e-01    4.533115e-02    9.066231e-03    7.204127e-03
1.123324e-01    5.077089e-02    9.594797e-03    7.697328e-03
1.201705e-01    3.263843e-02    7.692952e-03    8.225551e-03
1.285556e-01    2.538545e-02    6.784546e-03    8.791201e-03
1.375257e-01    1.269272e-02    4.797399e-03    9.396854e-03
1.471217e-01    9.066231e-03    4.054542e-03    1.004527e-02
1.573873e-01    2.175895e-02    6.281269e-03    1.073940e-02
1.683692e-01    3.626492e-03    2.564317e-03    1.148240e-02
1.801174e-01    3.626492e-03    2.564317e-03    1.227765e-02
1.926853e-01    7.252985e-03    3.626492e-03    1.312878e-02
2.061301e-01    2.357220e-02    6.537752e-03    1.403966e-02
2.205131e-01    3.626492e-03    2.564317e-03    1.501444e-02
2.358996e-01    9.066231e-03    4.054542e-03    1.605754e-02
2.523598e-01    1.813246e-02    5.733988e-03    1.717373e-02
2.699685e-01    1.813246e-02    5.733988e-03    1.836807e-02
2.888059e-01    7.252985e-03    3.626492e-03    1.964601e-02
3.089577e-01    9.066231e-03    4.054542e-03    2.101336e-02
3.305156e-01    9.066231e-03    4.054542e-03    2.247635e-02
3.535777e-01    9.066231e-03    4.054542e-03    2.404163e-02
3.782490e-01    9.066231e-03    4.054542e-03    2.571632e-02
4.046418e-01    9.066231e-03    4.054542e-03    2.750806e-02
4.328761e-01    1.813246e-03    1.813246e-03    2.942498e-02
4.630806e-01    9.066231e-03    4.054542e-03    3.147583e-02
4.953926e-01    2.175895e-02    6.281269e-03    3.366993e-02
5.299592e-01    5.439739e-03    3.140634e-03    3.601726e-02
5.669377e-01    3.626492e-03    2.564317e-03    3.852851e-02
6.064965e-01    1.087948e-02    4.441528e-03    4.121511e-02
6.488155e-01    5.439739e-03    3.140634e-03    4.408929e-02
6.940874e-01    2.357220e-02    6.537752e-03    4.716412e-02
7.425181e-01    1.269272e-02    4.797399e-03    5.045361e-02
7.943282e-01    7.252985e-03    3.626492e-03    5.397272e-02
