# X-ray-like data generated for model core_shell_sphere with parameters:
# radius = 150
# thickness = 40
# sld_core = 4
# sld_shell = 4
# sld_solvent = 6
# scale = 0.01
# background = 0.001
#    Q             counts           error          sigmaQ
1.280582e-03    1.135421e+02    1.138144e-02    1.009067e-04
1.289170e-03    1.135488e+02    1.138178e-02    1.009117e-04
1.297816e-03    1.135320e+02    1.138094e-02    1.009169e-04
1.306520e-03    1.135179e+02    1.138023e-02    1.009220e-04
1.315282e-03    1.135020e+02    1.137943e-02    1.009273e-04
1.324103e-03    1.134478e+02    1.137671e-02    1.009326e-04
1.332984e-03    1.134624e+02    1.137745e-02    1.009380e-04
1.341923e-03    1.134361e+02    1.137613e-02    1.009435e-04
1.350923e-03    1.134180e+02    1.137522e-02    1.009490e-04
1.359983e-03    1.134032e+02    1.137448e-02    1.009546e-04
1.369104e-03    1.133569e+02    1.137215e-02    1.009603e-04
1.378286e-03    1.133236e+02    1.137048e-02    1.009661e-04
1.387530e-03    1.133283e+02    1.137072e-02    1.009719e-04
1.396835e-03    1.132907e+02    1.136884e-02    1.009778e-04
1.406203e-03    1.132967e+02    1.136913e-02    1.009839e-04
1.415634e-03    1.132492e+02    1.136675e-02    1.009899e-04
1.425128e-03    1.132519e+02    1.136689e-02    1.009961e-04
1.434686e-03    1.132328e+02    1.136593e-02    1.010023e-04
1.444307e-03    1.131975e+02    1.136416e-02    1.010087e-04
1.453994e-03    1.131709e+02    1.136282e-02    1.010151e-04
1.463745e-03    1.131493e+02    1.136173e-02    1.010216e-04
1.473562e-03    1.131368e+02    1.136111e-02    1.010282e-04
1.483444e-03    1.130814e+02    1.135833e-02    1.010348e-04
1.493393e-03    1.130658e+02    1.135754e-02    1.010416e-04
1.503409e-03    1.130543e+02    1.135696e-02    1.010485e-04
1.513491e-03    1.130471e+02    1.135661e-02    1.010554e-04
1.523642e-03    1.130043e+02    1.135446e-02    1.010624e-04
1.533860e-03    1.129777e+02    1.135312e-02    1.010696e-04
1.544147e-03    1.129338e+02    1.135091e-02    1.010768e-04
1.554503e-03    1.129439e+02    1.135142e-02    1.010841e-04
1.564928e-03    1.128855e+02    1.134849e-02    1.010916e-04
1.575424e-03    1.128627e+02    1.134734e-02    1.010991e-04
1.585989e-03    1.128220e+02    1.134529e-02    1.011067e-04
1.596626e-03    1.128119e+02    1.134479e-02    1.011144e-04
1.607334e-03    1.127752e+02    1.134294e-02    1.011223e-04
1.618114e-03    1.127496e+02    1.134165e-02    1.011302e-04
1.628966e-03    1.127258e+02    1.134046e-02    1.011382e-04
1.639890e-03    1.127024e+02    1.133928e-02    1.011464e-04
1.650888e-03    1.126680e+02    1.133755e-02    1.011546e-04
1.661960e-03    1.126612e+02    1.133720e-02    1.011630e-04
1.673106e-03    1.126220e+02    1.133523e-02    1.011715e-04
1.684327e-03    1.125875e+02    1.133349e-02    1.011801e-04
1.695623e-03    1.125491e+02    1.133156e-02    1.011888e-04
1.706995e-03    1.125099e+02    1.132959e-02    1.011976e-04
1.718443e-03    1.124762e+02    1.132789e-02    1.012066e-04
1.729968e-03    1.124788e+02    1.132802e-02    1.012156e-04
1.741570e-03    1.124279e+02    1.132546e-02    1.012248e-04
1.753250e-03    1.123837e+02    1.132323e-02    1.012341e-04
1.765008e-03    1.123534e+02    1.132171e-02    1.012435e-04
1.776845e-03    1.123291e+02    1.132048e-02    1.012531e-04
1.788762e-03    1.122943e+02    1.131873e-02    1.012628e-04
1.800758e-03    1.122391e+02    1.131595e-02    1.012726e-04
1.812835e-03    1.122193e+02    1.131495e-02    1.012825e-04
1.824993e-03    1.121793e+02    1.131293e-02    1.012926e-04
1.837233e-03    1.121553e+02    1.131172e-02    1.013028e-04
1.849554e-03    1.121151e+02    1.130970e-02    1.013132e-04
1.861958e-03    1.120708e+02    1.130746e-02    1.013236e-04
1.874446e-03    1.120438e+02    1.130609e-02    1.013343e-04
1.887017e-03    1.120083e+02    1.130430e-02    1.013450e-04
1.899672e-03    1.119747e+02    1.130261e-02    1.013560e-04
1.912413e-03    1.119101e+02    1.129935e-02    1.013670e-04
1.925238e-03    1.118545e+02    1.129654e-02    1.013782e-04
1.938150e-03    1.118430e+02    1.129596e-02    1.013896e-04
1.951148e-03    1.118073e+02    1.129416e-02    1.014011e-04
1.964234e-03    1.117511e+02    1.129132e-02    1.014127e-04
1.977407e-03    1.117179e+02    1.128964e-02    1.014245e-04
1.990669e-03    1.116827e+02    1.128787e-02    1.014365e-04
2.004019e-03    1.116425e+02    1.128583e-02    1.014487e-04
2.017459e-03    1.116000e+02    1.128368e-02    1.014610e-04
2.030990e-03    1.115363e+02    1.128046e-02    1.014734e-04
2.044611e-03    1.114809e+02    1.127766e-02    1.014860e-04
2.058323e-03    1.114399e+02    1.127559e-02    1.014988e-04
2.072127e-03    1.113887e+02    1.127299e-02    1.015118e-04
2.086024e-03    1.113336e+02    1.127021e-02    1.015249e-04
2.100014e-03    1.113092e+02    1.126897e-02    1.015382e-04
2.114098e-03    1.112463e+02    1.126579e-02    1.015517e-04
2.128276e-03    1.112132e+02    1.126411e-02    1.015654e-04
2.142550e-03    1.111541e+02    1.126112e-02    1.015792e-04
2.156919e-03    1.111191e+02    1.125935e-02    1.015933e-04
2.171385e-03    1.110616e+02    1.125643e-02    1.016075e-04
2.185947e-03    1.110112e+02    1.125388e-02    1.016219e-04
2.200607e-03    1.109433e+02    1.125044e-02    1.016365e-04
2.215366e-03    1.109057e+02    1.124853e-02    1.016513e-04
2.230223e-03    1.108626e+02    1.124634e-02    1.016663e-04
2.245180e-03    1.108139e+02    1.124387e-02    1.016815e-04
2.260238e-03    1.107404e+02    1.124015e-02    1.016969e-04
2.275396e-03    1.106825e+02    1.123720e-02    1.017125e-04
2.290656e-03    1.106134e+02    1.123369e-02    1.017283e-04
2.306019e-03    1.105793e+02    1.123196e-02    1.017443e-04
2.321484e-03    1.105215e+02    1.122903e-02    1.017605e-04
2.337054e-03    1.104530e+02    1.122555e-02    1.017770e-04
2.352727e-03    1.103855e+02    1.122211e-02    1.017936e-04
2.368506e-03    1.103359e+02    1.121960e-02    1.018105e-04
2.384390e-03    1.102830e+02    1.121690e-02    1.018276e-04
2.400382e-03    1.102034e+02    1.121286e-02    1.018450e-04
2.416480e-03    1.101647e+02    1.121089e-02    1.018625e-04
2.432686e-03    1.100821e+02    1.120668e-02    1.018803e-04
2.449001e-03    1.100234e+02    1.120369e-02    1.018984e-04
2.465426e-03    1.099637e+02    1.120066e-02    1.019167e-04
2.481960e-03    1.098825e+02    1.119652e-02    1.019352e-04
2.498606e-03    1.098416e+02    1.119443e-02    1.019540e-04
2.515363e-03    1.097560e+02    1.119007e-02    1.019730e-04
2.532232e-03    1.097141e+02    1.118794e-02    1.019922e-04
2.549215e-03    1.096174e+02    1.118300e-02    1.020118e-04
2.566311e-03    1.095710e+02    1.118064e-02    1.020315e-04
2.583522e-03    1.094953e+02    1.117678e-02    1.020516e-04
2.600849e-03    1.094214e+02    1.117301e-02    1.020719e-04
2.618292e-03    1.093500e+02    1.116936e-02    1.020925e-04
2.635851e-03    1.092944e+02    1.116651e-02    1.021133e-04
2.653529e-03    1.092045e+02    1.116192e-02    1.021345e-04
2.671325e-03    1.091388e+02    1.115857e-02    1.021559e-04
2.689240e-03    1.090458e+02    1.115381e-02    1.021776e-04
2.707276e-03    1.089729e+02    1.115008e-02    1.021995e-04
2.725433e-03    1.088963e+02    1.114617e-02    1.022218e-04
2.743711e-03    1.088092e+02    1.114171e-02    1.022444e-04
2.762112e-03    1.087316e+02    1.113773e-02    1.022672e-04
2.780636e-03    1.086731e+02    1.113474e-02    1.022904e-04
2.799285e-03    1.085852e+02    1.113023e-02    1.023139e-04
2.818058e-03    1.084737e+02    1.112451e-02    1.023376e-04
2.836958e-03    1.084010e+02    1.112079e-02    1.023617e-04
2.855984e-03    1.083238e+02    1.111682e-02    1.023862e-04
2.875138e-03    1.082466e+02    1.111286e-02    1.024109e-04
2.894420e-03    1.081304e+02    1.110690e-02    1.024360e-04
2.913832e-03    1.080490e+02    1.110271e-02    1.024614e-04
2.933374e-03    1.079389e+02    1.109705e-02    1.024871e-04
2.953046e-03    1.078774e+02    1.109389e-02    1.025132e-04
2.972851e-03    1.077820e+02    1.108899e-02    1.025396e-04
2.992789e-03    1.076730e+02    1.108338e-02    1.025663e-04
3.012860e-03    1.075836e+02    1.107878e-02    1.025935e-04
3.033066e-03    1.075113e+02    1.107505e-02    1.026209e-04
3.053408e-03    1.073867e+02    1.106863e-02    1.026488e-04
3.073886e-03    1.073077e+02    1.106456e-02    1.026770e-04
3.094501e-03    1.072187e+02    1.105997e-02    1.027056e-04
3.115254e-03    1.070984e+02    1.105377e-02    1.027345e-04
3.136147e-03    1.069986e+02    1.104861e-02    1.027638e-04
3.157180e-03    1.068933e+02    1.104318e-02    1.027936e-04
3.178354e-03    1.067981e+02    1.103826e-02    1.028237e-04
3.199669e-03    1.067051e+02    1.103345e-02    1.028542e-04
3.221128e-03    1.065661e+02    1.102626e-02    1.028851e-04
3.242731e-03    1.064808e+02    1.102185e-02    1.029164e-04
3.264479e-03    1.063438e+02    1.101475e-02    1.029481e-04
3.286372e-03    1.062437e+02    1.100957e-02    1.029803e-04
3.308412e-03    1.061319e+02    1.100377e-02    1.030128e-04
3.330600e-03    1.060028e+02    1.099708e-02    1.030458e-04
3.352937e-03    1.059083e+02    1.099218e-02    1.030793e-04
3.375424e-03    1.057798e+02    1.098551e-02    1.031131e-04
3.398061e-03    1.056910e+02    1.098090e-02    1.031474e-04
3.420851e-03    1.055516e+02    1.097365e-02    1.031822e-04
3.443793e-03    1.054178e+02    1.096669e-02    1.032174e-04
3.466889e-03    1.053013e+02    1.096063e-02    1.032531e-04
3.490140e-03    1.051790e+02    1.095426e-02    1.032892e-04
3.513547e-03    1.050608e+02    1.094811e-02    1.033259e-04
3.537111e-03    1.048889e+02    1.093915e-02    1.033630e-04
3.560833e-03    1.048199e+02    1.093555e-02    1.034005e-04
3.584714e-03    1.046846e+02    1.092849e-02    1.034386e-04
3.608755e-03    1.045343e+02    1.092064e-02    1.034772e-04
3.632957e-03    1.043998e+02    1.091362e-02    1.035163e-04
3.657322e-03    1.042432e+02    1.090543e-02    1.035559e-04
3.681850e-03    1.041189e+02    1.089893e-02    1.035960e-04
3.706542e-03    1.039924e+02    1.089230e-02    1.036366e-04
3.731401e-03    1.038448e+02    1.088457e-02    1.036778e-04
3.756425e-03    1.037095e+02    1.087747e-02    1.037195e-04
3.781618e-03    1.035658e+02    1.086994e-02    1.037617e-04
3.806980e-03    1.034219e+02    1.086238e-02    1.038045e-04
3.832512e-03    1.032610e+02    1.085393e-02    1.038478e-04
3.858215e-03    1.031158e+02    1.084630e-02    1.038918e-04
3.884090e-03    1.029503e+02    1.083759e-02    1.039362e-04
3.910139e-03    1.028150e+02    1.083047e-02    1.039813e-04
3.936363e-03    1.026623e+02    1.082242e-02    1.040270e-04
3.962762e-03    1.024895e+02    1.081331e-02    1.040732e-04
3.989339e-03    1.023522e+02    1.080606e-02    1.041201e-04
4.016093e-03    1.021758e+02    1.079674e-02    1.041675e-04
4.043028e-03    1.020201e+02    1.078852e-02    1.042156e-04
4.070142e-03    1.018616e+02    1.078013e-02    1.042643e-04
4.097439e-03    1.016893e+02    1.077101e-02    1.043136e-04
4.124919e-03    1.015393e+02    1.076306e-02    1.043636e-04
4.152583e-03    1.013566e+02    1.075337e-02    1.044142e-04
4.180433e-03    1.011825e+02    1.074414e-02    1.044655e-04
4.208469e-03    1.009722e+02    1.073297e-02    1.045174e-04
4.236693e-03    1.008325e+02    1.072554e-02    1.045701e-04
4.265107e-03    1.006558e+02    1.071613e-02    1.046234e-04
4.293711e-03    1.004518e+02    1.070527e-02    1.046773e-04
4.322507e-03    1.002815e+02    1.069619e-02    1.047320e-04
4.351497e-03    1.000783e+02    1.068535e-02    1.047874e-04
4.380680e-03    9.989909e+01    1.067578e-02    1.048435e-04
4.410059e-03    9.970362e+01    1.066533e-02    1.049003e-04
4.439636e-03    9.953036e+01    1.065606e-02    1.049579e-04
4.469411e-03    9.933356e+01    1.064552e-02    1.050162e-04
4.499385e-03    9.914034e+01    1.063516e-02    1.050753e-04
4.529560e-03    9.892560e+01    1.062363e-02    1.051351e-04
4.559938e-03    9.871840e+01    1.061250e-02    1.051957e-04
4.590520e-03    9.852827e+01    1.060228e-02    1.052571e-04
4.621306e-03    9.832378e+01    1.059127e-02    1.053192e-04
4.652300e-03    9.813351e+01    1.058102e-02    1.053822e-04
4.683500e-03    9.790005e+01    1.056843e-02    1.054459e-04
4.714911e-03    9.769640e+01    1.055743e-02    1.055105e-04
4.746532e-03    9.747688e+01    1.054556e-02    1.055759e-04
4.778365e-03    9.724615e+01    1.053307e-02    1.056422e-04
4.810411e-03    9.704672e+01    1.052226e-02    1.057093e-04
4.842672e-03    9.681400e+01    1.050964e-02    1.057772e-04
4.875150e-03    9.658154e+01    1.049701e-02    1.058461e-04
4.907846e-03    9.636603e+01    1.048530e-02    1.059158e-04
4.940760e-03    9.614585e+01    1.047331e-02    1.059864e-04
4.973896e-03    9.590663e+01    1.046027e-02    1.060579e-04
5.007254e-03    9.567043e+01    1.044739e-02    1.061303e-04
5.040835e-03    9.542270e+01    1.043385e-02    1.062037e-04
5.074642e-03    9.517012e+01    1.042003e-02    1.062779e-04
5.108675e-03    9.491950e+01    1.040631e-02    1.063532e-04
5.142937e-03    9.469429e+01    1.039395e-02    1.064294e-04
5.177429e-03    9.442704e+01    1.037927e-02    1.065065e-04
5.212151e-03    9.418386e+01    1.036590e-02    1.065846e-04
5.247107e-03    9.391739e+01    1.035123e-02    1.066638e-04
5.282297e-03    9.367702e+01    1.033797e-02    1.067439e-04
5.317723e-03    9.340849e+01    1.032314e-02    1.068250e-04
5.353387e-03    9.312858e+01    1.030766e-02    1.069072e-04
5.389290e-03    9.287231e+01    1.029347e-02    1.069905e-04
5.425433e-03    9.262189e+01    1.027959e-02    1.070747e-04
5.461819e-03    9.233970e+01    1.026391e-02    1.071601e-04
5.498449e-03    9.206011e+01    1.024836e-02    1.072465e-04
5.535325e-03    9.177645e+01    1.023256e-02    1.073340e-04
5.572448e-03    9.148944e+01    1.021655e-02    1.074226e-04
5.609820e-03    9.121503e+01    1.020122e-02    1.075124e-04
5.647443e-03    9.092012e+01    1.018471e-02    1.076032e-04
5.685318e-03    9.063092e+01    1.016850e-02    1.076952e-04
5.723447e-03    9.034679e+01    1.015255e-02    1.077884e-04
5.761832e-03    9.004497e+01    1.013558e-02    1.078828e-04
5.800474e-03    8.974641e+01    1.011876e-02    1.079783e-04
5.839375e-03    8.944279e+01    1.010163e-02    1.080750e-04
5.878537e-03    8.912171e+01    1.008348e-02    1.081729e-04
5.917962e-03    8.883322e+01    1.006715e-02    1.082721e-04
5.957651e-03    8.851620e+01    1.004917e-02    1.083725e-04
5.997607e-03    8.819811e+01    1.003110e-02    1.084742e-04
6.037830e-03    8.785717e+01    1.001169e-02    1.085771e-04
6.078323e-03    8.753699e+01    9.993430e-03    1.086813e-04
6.119088e-03    8.721745e+01    9.975174e-03    1.087869e-04
6.160126e-03    8.689871e+01    9.956930e-03    1.088937e-04
6.201439e-03    8.656633e+01    9.937869e-03    1.090019e-04
6.243030e-03    8.623385e+01    9.918766e-03    1.091114e-04
6.284899e-03    8.588260e+01    9.898545e-03    1.092223e-04
6.327049e-03    8.554512e+01    9.879078e-03    1.093345e-04
6.369482e-03    8.518687e+01    9.858370e-03    1.094482e-04
6.412199e-03    8.482639e+01    9.837489e-03    1.095633e-04
6.455203e-03    8.447350e+01    9.817006e-03    1.096797e-04
6.498495e-03    8.412357e+01    9.796650e-03    1.097977e-04
6.542078e-03    8.378300e+01    9.776800e-03    1.099171e-04
6.585953e-03    8.341624e+01    9.755379e-03    1.100379e-04
6.630122e-03    8.303619e+01    9.733128e-03    1.101603e-04
6.674587e-03    8.265585e+01    9.710813e-03    1.102841e-04
6.719351e-03    8.230220e+01    9.690017e-03    1.104095e-04
6.764415e-03    8.190568e+01    9.666645e-03    1.105364e-04
6.809781e-03    8.152863e+01    9.644371e-03    1.106649e-04
6.855451e-03    8.115775e+01    9.622409e-03    1.107950e-04
6.901428e-03    8.075261e+01    9.598361e-03    1.109266e-04
6.947713e-03    8.037097e+01    9.575653e-03    1.110599e-04
6.994308e-03    7.995866e+01    9.551059e-03    1.111948e-04
7.041216e-03    7.954427e+01    9.526278e-03    1.113314e-04
7.088438e-03    7.916240e+01    9.503383e-03    1.114696e-04
7.135977e-03    7.875234e+01    9.478738e-03    1.116095e-04
7.183835e-03    7.837086e+01    9.455753e-03    1.117511e-04
7.232014e-03    7.794018e+01    9.429734e-03    1.118944e-04
7.280516e-03    7.750424e+01    9.403327e-03    1.120395e-04
7.329343e-03    7.708679e+01    9.377968e-03    1.121863e-04
7.378498e-03    7.664867e+01    9.351281e-03    1.123349e-04
7.427982e-03    7.622894e+01    9.325642e-03    1.124853e-04
7.477799e-03    7.582014e+01    9.300603e-03    1.126376e-04
7.527949e-03    7.536211e+01    9.272467e-03    1.127916e-04
7.578436e-03    7.492487e+01    9.245530e-03    1.129476e-04
7.629261e-03    7.447789e+01    9.217910e-03    1.131054e-04
7.680427e-03    7.402961e+01    9.190127e-03    1.132651e-04
7.731937e-03    7.358492e+01    9.162483e-03    1.134267e-04
7.783791e-03    7.313689e+01    9.134547e-03    1.135903e-04
7.835994e-03    7.265119e+01    9.104166e-03    1.137558e-04
7.888547e-03    7.221129e+01    9.076561e-03    1.139233e-04
7.941452e-03    7.173714e+01    9.046714e-03    1.140929e-04
7.994712e-03    7.128344e+01    9.018060e-03    1.142644e-04
8.048329e-03    7.080035e+01    8.987451e-03    1.144380e-04
8.102305e-03    7.032544e+01    8.957257e-03    1.146136e-04
8.156644e-03    6.983205e+01    8.925780e-03    1.147914e-04
8.211347e-03    6.934837e+01    8.894815e-03    1.149712e-04
8.266417e-03    6.884870e+01    8.862712e-03    1.151532e-04
8.321856e-03    6.837476e+01    8.832155e-03    1.153374e-04
8.377668e-03    6.787949e+01    8.800109e-03    1.155237e-04
8.433853e-03    6.736657e+01    8.766798e-03    1.157122e-04
8.490415e-03    6.687186e+01    8.734548e-03    1.159030e-04
8.547357e-03    6.636569e+01    8.701430e-03    1.160960e-04
8.604680e-03    6.585829e+01    8.668102e-03    1.162912e-04
8.662388e-03    6.535995e+01    8.635244e-03    1.164888e-04
8.720483e-03    6.483967e+01    8.600806e-03    1.166887e-04
8.778968e-03    6.431129e+01    8.565691e-03    1.168909e-04
8.837844e-03    6.377321e+01    8.529782e-03    1.170955e-04
8.897116e-03    6.325377e+01    8.494973e-03    1.173025e-04
8.956785e-03    6.274133e+01    8.460493e-03    1.175119e-04
9.016854e-03    6.219962e+01    8.423889e-03    1.177237e-04
9.077327e-03    6.165950e+01    8.387235e-03    1.179380e-04
9.138204e-03    6.111956e+01    8.350431e-03    1.181548e-04
9.199490e-03    6.057602e+01    8.313217e-03    1.183740e-04
9.261187e-03    6.004590e+01    8.276762e-03    1.185959e-04
9.323298e-03    5.950346e+01    8.239292e-03    1.188203e-04
9.385825e-03    5.893694e+01    8.199976e-03    1.190472e-04
9.448772e-03    5.837113e+01    8.160520e-03    1.192768e-04
9.512141e-03    5.779733e+01    8.120311e-03    1.195091e-04
9.575935e-03    5.726053e+01    8.082515e-03    1.197440e-04
9.640156e-03    5.668042e+01    8.041468e-03    1.199816e-04
9.704809e-03    5.611909e+01    8.001549e-03    1.202219e-04
9.769895e-03    5.553719e+01    7.959957e-03    1.204649e-04
9.835417e-03    5.496999e+01    7.919205e-03    1.207107e-04
9.901379e-03    5.440261e+01    7.878231e-03    1.209594e-04
9.967784e-03    5.381247e+01    7.835384e-03    1.212108e-04
1.003463e-02    5.324047e+01    7.793629e-03    1.214651e-04
1.010193e-02    5.266455e+01    7.751361e-03    1.217223e-04
1.016968e-02    5.207806e+01    7.708079e-03    1.219824e-04
1.023788e-02    5.149011e+01    7.664445e-03    1.222454e-04
1.030655e-02    5.088594e+01    7.619346e-03    1.225114e-04
1.037567e-02    5.029070e+01    7.574651e-03    1.227804e-04
1.044525e-02    4.971102e+01    7.530869e-03    1.230524e-04
1.051530e-02    4.911552e+01    7.485628e-03    1.233275e-04
1.058583e-02    4.850993e+01    7.439335e-03    1.236056e-04
1.065682e-02    4.791405e+01    7.393503e-03    1.238868e-04
1.072829e-02    4.732238e+01    7.347710e-03    1.241712e-04
1.080024e-02    4.671643e+01    7.300517e-03    1.244587e-04
1.087267e-02    4.611574e+01    7.253429e-03    1.247495e-04
1.094559e-02    4.549554e+01    7.204489e-03    1.250434e-04
1.101900e-02    4.490012e+01    7.157189e-03    1.253406e-04
1.109290e-02    4.428236e+01    7.107783e-03    1.256411e-04
1.116729e-02    4.369254e+01    7.060288e-03    1.259449e-04
1.124219e-02    4.306507e+01    7.009408e-03    1.262521e-04
1.131758e-02    4.244584e+01    6.958832e-03    1.265626e-04
1.139349e-02    4.185090e+01    6.909891e-03    1.268765e-04
1.146990e-02    4.123074e+01    6.858503e-03    1.271938e-04
1.154682e-02    4.062902e+01    6.808273e-03    1.275146e-04
1.162426e-02    3.999291e+01    6.754766e-03    1.278390e-04
1.170222e-02    3.939059e+01    6.703707e-03    1.281668e-04
1.178070e-02    3.876723e+01    6.650452e-03    1.284982e-04
1.185971e-02    3.815255e+01    6.597518e-03    1.288332e-04
1.193925e-02    3.753213e+01    6.543655e-03    1.291718e-04
1.201932e-02    3.691879e+01    6.489966e-03    1.295141e-04
1.209993e-02    3.629765e+01    6.435141e-03    1.298600e-04
1.218108e-02    3.569799e+01    6.381764e-03    1.302097e-04
1.226277e-02    3.508001e+01    6.326284e-03    1.305631e-04
1.234501e-02    3.446624e+01    6.270696e-03    1.309203e-04
1.242780e-02    3.385127e+01    6.214501e-03    1.312813e-04
1.251115e-02    3.324118e+01    6.158245e-03    1.316462e-04
1.259506e-02    3.264662e+01    6.102924e-03    1.320149e-04
1.267953e-02    3.202536e+01    6.044575e-03    1.323876e-04
1.276456e-02    3.140991e+01    5.986213e-03    1.327642e-04
1.285017e-02    3.082003e+01    5.929735e-03    1.331448e-04
1.293635e-02    3.020806e+01    5.870569e-03    1.335294e-04
1.302311e-02    2.960330e+01    5.811507e-03    1.339181e-04
1.311045e-02    2.900384e+01    5.752366e-03    1.343108e-04
1.319838e-02    2.840747e+01    5.692920e-03    1.347077e-04
1.328689e-02    2.779834e+01    5.631554e-03    1.351087e-04
1.337600e-02    2.721236e+01    5.571881e-03    1.355139e-04
1.346571e-02    2.661895e+01    5.510795e-03    1.359233e-04
1.355602e-02    2.602374e+01    5.448835e-03    1.363370e-04
1.364693e-02    2.543782e+01    5.387146e-03    1.367549e-04
1.373846e-02    2.486738e+01    5.326400e-03    1.371772e-04
1.383059e-02    2.428710e+01    5.263887e-03    1.376039e-04
1.392335e-02    2.371675e+01    5.201714e-03    1.380349e-04
1.401673e-02    2.313210e+01    5.137199e-03    1.384704e-04
1.411073e-02    2.257933e+01    5.075447e-03    1.389104e-04
1.420537e-02    2.200801e+01    5.010824e-03    1.393548e-04
1.430064e-02    2.144734e+01    4.946585e-03    1.398038e-04
1.439654e-02    2.089082e+01    4.881986e-03    1.402574e-04
1.449310e-02    2.034170e+01    4.817396e-03    1.407155e-04
1.459029e-02    1.978949e+01    4.751558e-03    1.411784e-04
1.468815e-02    1.925196e+01    4.686583e-03    1.416459e-04
1.478665e-02    1.871518e+01    4.620785e-03    1.421181e-04
1.488582e-02    1.818225e+01    4.554519e-03    1.425951e-04
1.498565e-02    1.765879e+01    4.488480e-03    1.430769e-04
1.508616e-02    1.713573e+01    4.421505e-03    1.435635e-04
1.518733e-02    1.662086e+01    4.354572e-03    1.440550e-04
1.528919e-02    1.610765e+01    4.286817e-03    1.445514e-04
1.539172e-02    1.560511e+01    4.219415e-03    1.450528e-04
1.549495e-02    1.510746e+01    4.151591e-03    1.455591e-04
1.559887e-02    1.461722e+01    4.083675e-03    1.460705e-04
1.570348e-02    1.414070e+01    4.016560e-03    1.465869e-04
1.580880e-02    1.366379e+01    3.948247e-03    1.471084e-04
1.591482e-02    1.318351e+01    3.878237e-03    1.476351e-04
1.602156e-02    1.271831e+01    3.809198e-03    1.481669e-04
1.612901e-02    1.226658e+01    3.740938e-03    1.487040e-04
1.623718e-02    1.181724e+01    3.671782e-03    1.492463e-04
1.634607e-02    1.137656e+01    3.602668e-03    1.497940e-04
1.645570e-02    1.093406e+01    3.531909e-03    1.503469e-04
1.656606e-02    1.051226e+01    3.463114e-03    1.509052e-04
1.667716e-02    1.008660e+01    3.392277e-03    1.514690e-04
1.678901e-02    9.682524e+00    3.323633e-03    1.520381e-04
1.690160e-02    9.277115e+00    3.253309e-03    1.526128e-04
1.701496e-02    8.879839e+00    3.182888e-03    1.531930e-04
1.712907e-02    8.489288e+00    3.112106e-03    1.537788e-04
1.724395e-02    8.110863e+00    3.041952e-03    1.543703e-04
1.735959e-02    7.744713e+00    2.972497e-03    1.549673e-04
1.747602e-02    7.384069e+00    2.902463e-03    1.555701e-04
1.759322e-02    7.025366e+00    2.831087e-03    1.561786e-04
